# Azimuth Pattern Measurements
# Homebrew 70cm sat ant - circ pol
# 
# Time Stamp: 2022-01-22 13:59:37.930610
# Rig: Icom IC9700
# Rig Connection: FLRIG
# 
Theta	Az	El	s	db	S
-179.000000	-77.000000	0.000000	19.800000	19.800000	3.300000
-170.000000	-166.000000	0.000000	17.100000	17.100000	2.850000
-160.000000	-162.000000	0.000000	10.800000	10.800000	1.800000
-150.000000	-151.000000	0.000000	6.200000	6.200000	1.033333
-140.000000	-142.000000	0.000000	28.700000	28.700000	4.783333
-130.000000	-132.000000	0.000000	24.100000	24.100000	4.016667
-120.000000	-122.000000	0.000000	17.400000	17.400000	2.900000
-110.000000	-112.000000	0.000000	25.900000	25.900000	4.316667
-100.000000	-103.000000	0.000000	26.800000	26.800000	4.466667
-90.000000	-92.000000	0.000000	11.200000	11.200000	1.866667
-80.000000	-83.000000	0.000000	0.200000	0.200000	0.033333
-70.000000	-72.000000	0.000000	25.800000	25.800000	4.300000
-60.000000	-63.000000	0.000000	44.500000	44.500000	7.416667
-50.000000	-52.000000	0.000000	52.200000	52.200000	8.700000
-40.000000	-42.000000	0.000000	53.000000	53.000000	8.833333
-30.000000	-32.000000	0.000000	51.600000	51.600000	8.600000
-20.000000	-24.000000	0.000000	48.700000	48.700000	8.116667
-10.000000	-13.000000	0.000000	45.700000	45.700000	7.616667
0.000000	-3.000000	0.000000	47.100000	47.100000	7.850000
10.000000	8.000000	0.000000	50.600000	50.600000	8.433333
20.000000	17.000000	0.000000	50.800000	50.800000	8.466667
30.000000	26.000000	0.000000	48.400000	48.400000	8.066667
40.000000	36.000000	0.000000	44.500000	44.500000	7.416667
50.000000	48.000000	0.000000	35.500000	35.500000	5.916667
60.000000	56.000000	0.000000	24.100000	24.100000	4.016667
70.000000	68.000000	0.000000	0.000000	0.000000	0.000000
80.000000	76.000000	0.000000	3.800000	3.800000	0.633333
90.000000	86.000000	0.000000	18.000000	18.000000	3.000000
100.000000	97.000000	0.000000	18.800000	18.800000	3.133333
110.000000	108.000000	0.000000	12.000000	12.000000	2.000000
120.000000	117.000000	0.000000	5.900000	5.900000	0.983333
130.000000	126.000000	0.000000	0.500000	0.500000	0.083333
140.000000	137.000000	0.000000	2.000000	2.000000	0.333333
150.000000	146.000000	0.000000	8.300000	8.300000	1.383333
160.000000	156.000000	0.000000	8.800000	8.800000	1.466667
170.000000	166.000000	0.000000	4.300000	4.300000	0.716667
179.000000	172.000000	0.000000	0.000000	0.000000	0.000000
