# Azimuth Pattern Measurements
# 
# 
# Time Stamp: 2022-10-21 15:08:05.792396
# Rig: IcomIC9700
# Rig Connection: FLRIG
# 
Theta	Az	El	s	db	S
-179.000000	-179.000000	0.000000	52.300000	52.300000	8.716667
-175.000000	-177.000000	0.000000	52.900000	52.900000	8.816667
-170.000000	-172.000000	0.000000	55.000000	55.000000	9.000000
-165.000000	-168.000000	0.000000	57.000000	57.000000	9.000000
-160.000000	-162.000000	0.000000	57.000000	57.000000	9.000000
-155.000000	-157.000000	0.000000	57.300000	57.300000	9.000000
-150.000000	-152.000000	0.000000	57.900000	57.900000	9.000000
-145.000000	-147.000000	0.000000	58.000000	58.000000	9.000000
-140.000000	-142.000000	0.000000	58.000000	58.000000	9.000000
-135.000000	-137.000000	0.000000	58.000000	58.000000	9.000000
-130.000000	-132.000000	0.000000	58.000000	58.000000	9.000000
-125.000000	-127.000000	0.000000	59.000000	59.000000	9.000000
-120.000000	-122.000000	0.000000	59.000000	59.000000	9.000000
-115.000000	-117.000000	0.000000	60.000000	60.000000	9.000000
-110.000000	-112.000000	0.000000	60.000000	60.000000	9.000000
-105.000000	-107.000000	0.000000	59.700000	59.700000	9.000000
-100.000000	-102.000000	0.000000	59.000000	59.000000	9.000000
-95.000000	-97.000000	0.000000	58.000000	58.000000	9.000000
-90.000000	-91.000000	0.000000	56.000000	56.000000	9.000000
-85.000000	-87.000000	0.000000	55.000000	55.000000	9.000000
-80.000000	-82.000000	0.000000	55.000000	55.000000	9.000000
-75.000000	-77.000000	0.000000	58.000000	58.000000	9.000000
-70.000000	-73.000000	0.000000	60.000000	60.000000	9.000000
-65.000000	-66.000000	0.000000	63.000000	63.000000	9.000000
-60.000000	-62.000000	0.000000	65.000000	65.000000	9.000000
-55.000000	-57.000000	0.000000	66.000000	66.000000	9.000000
-50.000000	-52.000000	0.000000	67.000000	67.000000	9.000000
-45.000000	-46.000000	0.000000	68.000000	68.000000	9.000000
-40.000000	-42.000000	0.000000	68.000000	68.000000	9.000000
-35.000000	-37.000000	0.000000	68.000000	68.000000	9.000000
-30.000000	-32.000000	0.000000	69.000000	69.000000	9.000000
-25.000000	-27.000000	0.000000	69.000000	69.000000	9.000000
-20.000000	-22.000000	0.000000	69.900000	69.900000	9.000000
-15.000000	-17.000000	0.000000	70.000000	70.000000	9.000000
-10.000000	-13.000000	0.000000	70.000000	70.000000	9.000000
-5.000000	-7.000000	0.000000	70.000000	70.000000	9.000000
0.000000	-2.000000	0.000000	69.200000	69.200000	9.000000
5.000000	3.000000	0.000000	69.000000	69.000000	9.000000
10.000000	8.000000	0.000000	68.000000	68.000000	9.000000
15.000000	13.000000	0.000000	67.100000	67.100000	9.000000
20.000000	18.000000	0.000000	66.000000	66.000000	9.000000
25.000000	22.000000	0.000000	65.000000	65.000000	9.000000
30.000000	27.000000	0.000000	63.000000	63.000000	9.000000
35.000000	33.000000	0.000000	62.000000	62.000000	9.000000
40.000000	36.000000	0.000000	60.000000	60.000000	9.000000
45.000000	44.000000	0.000000	58.000000	58.000000	9.000000
50.000000	48.000000	0.000000	58.000000	58.000000	9.000000
55.000000	53.000000	0.000000	59.000000	59.000000	9.000000
60.000000	56.000000	0.000000	59.300000	59.300000	9.000000
65.000000	63.000000	0.000000	60.000000	60.000000	9.000000
70.000000	68.000000	0.000000	60.000000	60.000000	9.000000
75.000000	73.000000	0.000000	60.000000	60.000000	9.000000
80.000000	78.000000	0.000000	60.000000	60.000000	9.000000
85.000000	83.000000	0.000000	60.000000	60.000000	9.000000
90.000000	88.000000	0.000000	60.000000	60.000000	9.000000
95.000000	93.000000	0.000000	60.400000	60.400000	9.000000
100.000000	98.000000	0.000000	61.000000	61.000000	9.000000
105.000000	103.000000	0.000000	61.700000	61.700000	9.000000
110.000000	107.000000	0.000000	60.000000	60.000000	9.000000
115.000000	110.000000	0.000000	59.000000	59.000000	9.000000
120.000000	118.000000	0.000000	56.400000	56.400000	9.000000
125.000000	123.000000	0.000000	54.900000	54.900000	9.000000
130.000000	128.000000	0.000000	54.000000	54.000000	9.000000
135.000000	133.000000	0.000000	54.000000	54.000000	9.000000
140.000000	138.000000	0.000000	54.000000	54.000000	9.000000
145.000000	143.000000	0.000000	53.000000	53.000000	8.833333
150.000000	148.000000	0.000000	52.000000	52.000000	8.666667
155.000000	153.000000	0.000000	50.000000	50.000000	8.333333
160.000000	158.000000	0.000000	46.100000	46.100000	7.683333
165.000000	163.000000	0.000000	46.000000	46.000000	7.666667
170.000000	168.000000	0.000000	53.000000	53.000000	8.833333
175.000000	173.000000	0.000000	55.000000	55.000000	9.000000
179.000000	172.000000	0.000000	55.000000	55.000000	9.000000
