# Azimuth Pattern Measurements
# 
# 
# Time Stamp: 2022-10-28 15:39:46.613450
# Rig: IcomIC9700
# Rig Connection: FLRIG
# 
Theta	Az	El	s	db	S
-179.000000	-178.000000	0.000000	17.700000	17.700000	2.950000
-175.000000	-178.000000	0.000000	16.100000	16.100000	2.683333
-170.000000	-171.000000	0.000000	0.000000	0.000000	0.000000
-165.000000	-167.000000	0.000000	15.500000	15.500000	2.583333
-160.000000	-162.000000	0.000000	27.800000	27.800000	4.633333
-155.000000	-157.000000	0.000000	31.400000	31.400000	5.233333
-150.000000	-152.000000	0.000000	33.200000	33.200000	5.533333
-145.000000	-147.000000	0.000000	35.200000	35.200000	5.866667
-140.000000	-142.000000	0.000000	37.300000	37.300000	6.216667
-135.000000	-136.000000	0.000000	38.000000	38.000000	6.333333
-130.000000	-132.000000	0.000000	39.400000	39.400000	6.566667
-125.000000	-127.000000	0.000000	41.100000	41.100000	6.850000
-120.000000	-122.000000	0.000000	43.000000	43.000000	7.166667
-115.000000	-117.000000	0.000000	44.900000	44.900000	7.483333
-110.000000	-113.000000	0.000000	46.500000	46.500000	7.750000
-105.000000	-107.000000	0.000000	48.000000	48.000000	8.000000
-100.000000	-102.000000	0.000000	48.000000	48.000000	8.000000
-95.000000	-99.000000	0.000000	47.800000	47.800000	7.966667
-90.000000	-92.000000	0.000000	45.800000	45.800000	7.633333
-85.000000	-87.000000	0.000000	43.000000	43.000000	7.166667
-80.000000	-82.000000	0.000000	40.000000	40.000000	6.666667
-75.000000	-77.000000	0.000000	38.000000	38.000000	6.333333
-70.000000	-73.000000	0.000000	37.900000	37.900000	6.316667
-65.000000	-67.000000	0.000000	44.900000	44.900000	7.483333
-60.000000	-62.000000	0.000000	50.000000	50.000000	8.333333
-55.000000	-56.000000	0.000000	53.000000	53.000000	8.833333
-50.000000	-52.000000	0.000000	55.000000	55.000000	9.000000
-45.000000	-47.000000	0.000000	55.000000	55.000000	9.000000
-40.000000	-42.000000	0.000000	56.000000	56.000000	9.000000
-35.000000	-37.000000	0.000000	56.000000	56.000000	9.000000
-30.000000	-33.000000	0.000000	57.000000	57.000000	9.000000
-25.000000	-27.000000	0.000000	58.000000	58.000000	9.000000
-20.000000	-22.000000	0.000000	58.000000	58.000000	9.000000
-15.000000	-17.000000	0.000000	58.000000	58.000000	9.000000
-10.000000	-13.000000	0.000000	58.700000	58.700000	9.000000
-5.000000	-7.000000	0.000000	59.000000	59.000000	9.000000
0.000000	-2.000000	0.000000	59.000000	59.000000	9.000000
5.000000	3.000000	0.000000	59.000000	59.000000	9.000000
10.000000	8.000000	0.000000	58.900000	58.900000	9.000000
15.000000	13.000000	0.000000	58.000000	58.000000	9.000000
20.000000	18.000000	0.000000	57.900000	57.900000	9.000000
25.000000	23.000000	0.000000	56.000000	56.000000	9.000000
30.000000	28.000000	0.000000	55.000000	55.000000	9.000000
35.000000	33.000000	0.000000	54.000000	54.000000	9.000000
40.000000	38.000000	0.000000	52.900000	52.900000	8.816667
45.000000	43.000000	0.000000	50.300000	50.300000	8.383333
50.000000	48.000000	0.000000	47.100000	47.100000	7.850000
55.000000	51.000000	0.000000	47.700000	47.700000	7.950000
60.000000	58.000000	0.000000	42.500000	42.500000	7.083333
65.000000	64.000000	0.000000	41.200000	41.200000	6.866667
70.000000	68.000000	0.000000	41.900000	41.900000	6.983333
75.000000	70.000000	0.000000	42.000000	42.000000	7.000000
80.000000	79.000000	0.000000	41.000000	41.000000	6.833333
85.000000	83.000000	0.000000	40.000000	40.000000	6.666667
90.000000	82.000000	0.000000	40.000000	40.000000	6.666667
95.000000	93.000000	0.000000	39.400000	39.400000	6.566667
100.000000	98.000000	0.000000	43.900000	43.900000	7.316667
105.000000	103.000000	0.000000	47.900000	47.900000	7.983333
110.000000	108.000000	0.000000	49.900000	49.900000	8.316667
115.000000	114.000000	0.000000	50.000000	50.000000	8.333333
120.000000	118.000000	0.000000	49.400000	49.400000	8.233333
125.000000	123.000000	0.000000	46.100000	46.100000	7.683333
130.000000	128.000000	0.000000	41.900000	41.900000	6.983333
135.000000	133.000000	0.000000	38.000000	38.000000	6.333333
140.000000	137.000000	0.000000	33.000000	33.000000	5.500000
145.000000	144.000000	0.000000	25.400000	25.400000	4.233333
150.000000	148.000000	0.000000	17.100000	17.100000	2.850000
155.000000	153.000000	0.000000	0.000000	0.000000	0.000000
160.000000	158.000000	0.000000	0.000000	0.000000	0.000000
165.000000	163.000000	0.000000	5.100000	5.100000	0.850000
170.000000	167.000000	0.000000	12.800000	12.800000	2.133333
175.000000	173.000000	0.000000	7.800000	7.800000	1.300000
179.000000	171.000000	0.000000	8.900000	8.900000	1.483333
