# Azimuth Pattern Measurements
# 
# 
# Time Stamp: 2022-10-21 18:04:34.578142
# Rig: IcomIC9700
# Rig Connection: FLRIG
# 
Theta	Az	El	s	db	S
179.000000	177.000000	0.000000	51.500000	51.500000	8.583333
175.000000	177.000000	0.000000	41.000000	41.000000	6.833333
170.000000	170.000000	0.000000	53.000000	53.000000	8.833333
165.000000	167.000000	0.000000	53.300000	53.300000	8.883333
160.000000	162.000000	0.000000	43.900000	43.900000	7.316667
155.000000	157.000000	0.000000	42.900000	42.900000	7.150000
150.000000	151.000000	0.000000	47.000000	47.000000	7.833333
145.000000	146.000000	0.000000	48.300000	48.300000	8.050000
140.000000	142.000000	0.000000	52.000000	52.000000	8.666667
135.000000	137.000000	0.000000	53.000000	53.000000	8.833333
130.000000	132.000000	0.000000	53.000000	53.000000	8.833333
125.000000	127.000000	0.000000	50.000000	50.000000	8.333333
120.000000	122.000000	0.000000	40.600000	40.600000	6.766667
115.000000	116.000000	0.000000	51.000000	51.000000	8.500000
110.000000	112.000000	0.000000	51.200000	51.200000	8.533333
105.000000	106.000000	0.000000	45.000000	45.000000	7.500000
100.000000	102.000000	0.000000	46.700000	46.700000	7.783333
95.000000	96.000000	0.000000	14.400000	14.400000	2.400000
90.000000	91.000000	0.000000	51.000000	51.000000	8.500000
85.000000	85.000000	0.000000	45.700000	45.700000	7.616667
80.000000	81.000000	0.000000	22.800000	22.800000	3.800000
75.000000	77.000000	0.000000	39.800000	39.800000	6.633333
70.000000	72.000000	0.000000	24.100000	24.100000	4.016667
65.000000	67.000000	0.000000	34.900000	34.900000	5.816667
60.000000	61.000000	0.000000	41.300000	41.300000	6.883333
55.000000	57.000000	0.000000	39.000000	39.000000	6.500000
50.000000	52.000000	0.000000	37.900000	37.900000	6.316667
45.000000	46.000000	0.000000	27.900000	27.900000	4.650000
40.000000	42.000000	0.000000	23.800000	23.800000	3.966667
35.000000	37.000000	0.000000	44.700000	44.700000	7.450000
30.000000	32.000000	0.000000	50.800000	50.800000	8.466667
25.000000	27.000000	0.000000	48.000000	48.000000	8.000000
20.000000	22.000000	0.000000	36.800000	36.800000	6.133333
15.000000	17.000000	0.000000	48.500000	48.500000	8.083333
10.000000	11.000000	0.000000	47.300000	47.300000	7.883333
5.000000	7.000000	0.000000	55.700000	55.700000	9.000000
0.000000	1.000000	0.000000	62.000000	62.000000	9.000000
-5.000000	-4.000000	0.000000	64.400000	64.400000	9.000000
-10.000000	-9.000000	0.000000	66.000000	66.000000	9.000000
-15.000000	-14.000000	0.000000	67.000000	67.000000	9.000000
-20.000000	-19.000000	0.000000	67.000000	67.000000	9.000000
-25.000000	-24.000000	0.000000	67.000000	67.000000	9.000000
-30.000000	-28.000000	0.000000	66.000000	66.000000	9.000000
-35.000000	-34.000000	0.000000	65.000000	65.000000	9.000000
-40.000000	-39.000000	0.000000	63.000000	63.000000	9.000000
-45.000000	-44.000000	0.000000	57.900000	57.900000	9.000000
-50.000000	-49.000000	0.000000	36.800000	36.800000	6.133333
-55.000000	-54.000000	0.000000	55.400000	55.400000	9.000000
-60.000000	-58.000000	0.000000	58.000000	58.000000	9.000000
-65.000000	-63.000000	0.000000	56.000000	56.000000	9.000000
-70.000000	-68.000000	0.000000	36.500000	36.500000	6.083333
-75.000000	-73.000000	0.000000	54.000000	54.000000	9.000000
-80.000000	-79.000000	0.000000	55.000000	55.000000	9.000000
-85.000000	-83.000000	0.000000	37.700000	37.700000	6.283333
-90.000000	-88.000000	0.000000	52.100000	52.100000	8.683333
-95.000000	-93.000000	0.000000	53.900000	53.900000	8.983333
-100.000000	-98.000000	0.000000	9.600000	9.600000	1.600000
-105.000000	-105.000000	0.000000	53.500000	53.500000	8.916667
-110.000000	-108.000000	0.000000	51.000000	51.000000	8.500000
-115.000000	-113.000000	0.000000	36.500000	36.500000	6.083333
-120.000000	-118.000000	0.000000	53.000000	53.000000	8.833333
-125.000000	-123.000000	0.000000	50.200000	50.200000	8.366667
-130.000000	-128.000000	0.000000	50.800000	50.800000	8.466667
-135.000000	-133.000000	0.000000	54.000000	54.000000	9.000000
-140.000000	-138.000000	0.000000	47.500000	47.500000	7.916667
-145.000000	-143.000000	0.000000	45.000000	45.000000	7.500000
-150.000000	-149.000000	0.000000	53.900000	53.900000	8.983333
-155.000000	-154.000000	0.000000	53.000000	53.000000	8.833333
-160.000000	-160.000000	0.000000	24.500000	24.500000	4.083333
-165.000000	-163.000000	0.000000	41.100000	41.100000	6.850000
-170.000000	-168.000000	0.000000	54.000000	54.000000	9.000000
-175.000000	-173.000000	0.000000	51.000000	51.000000	8.500000
-179.000000	-178.000000	0.000000	47.500000	47.500000	7.916667
