# Azimuth Pattern Measurements
# 
# 
# Time Stamp: 2022-10-28 16:01:38.352674
# Rig: IcomIC9700
# Rig Connection: FLRIG
# 
Theta	Az	El	s	db	S
179.000000	171.000000	0.000000	24.700000	24.700000	4.116667
175.000000	173.000000	0.000000	24.800000	24.800000	4.133333
170.000000	172.000000	0.000000	24.700000	24.700000	4.116667
165.000000	165.000000	0.000000	0.100000	0.100000	0.016667
160.000000	161.000000	0.000000	22.400000	22.400000	3.733333
155.000000	156.000000	0.000000	20.300000	20.300000	3.383333
150.000000	152.000000	0.000000	24.400000	24.400000	4.066667
145.000000	146.000000	0.000000	34.100000	34.100000	5.683333
140.000000	142.000000	0.000000	35.000000	35.000000	5.833333
135.000000	137.000000	0.000000	25.800000	25.800000	4.300000
130.000000	131.000000	0.000000	18.200000	18.200000	3.033333
125.000000	127.000000	0.000000	27.000000	27.000000	4.500000
120.000000	122.000000	0.000000	30.000000	30.000000	5.000000
115.000000	116.000000	0.000000	17.900000	17.900000	2.983333
110.000000	112.000000	0.000000	24.600000	24.600000	4.100000
105.000000	107.000000	0.000000	0.000000	0.000000	0.000000
100.000000	101.000000	0.000000	23.900000	23.900000	3.983333
95.000000	97.000000	0.000000	23.400000	23.400000	3.900000
90.000000	91.000000	0.000000	2.700000	2.700000	0.450000
85.000000	87.000000	0.000000	14.600000	14.600000	2.433333
80.000000	83.000000	0.000000	10.000000	10.000000	1.666667
75.000000	77.000000	0.000000	7.800000	7.800000	1.300000
70.000000	71.000000	0.000000	14.300000	14.300000	2.383333
65.000000	66.000000	0.000000	12.800000	12.800000	2.133333
60.000000	62.000000	0.000000	5.600000	5.600000	0.933333
55.000000	57.000000	0.000000	4.800000	4.800000	0.800000
50.000000	51.000000	0.000000	0.000000	0.000000	0.000000
45.000000	46.000000	0.000000	20.700000	20.700000	3.450000
40.000000	42.000000	0.000000	36.300000	36.300000	6.050000
35.000000	35.000000	0.000000	23.300000	23.300000	3.883333
30.000000	31.000000	0.000000	15.800000	15.800000	2.633333
25.000000	27.000000	0.000000	29.700000	29.700000	4.950000
20.000000	21.000000	0.000000	6.300000	6.300000	1.050000
15.000000	16.000000	0.000000	47.300000	47.300000	7.883333
10.000000	11.000000	0.000000	55.000000	55.000000	9.000000
5.000000	7.000000	0.000000	58.000000	58.000000	9.000000
0.000000	1.000000	0.000000	59.300000	59.300000	9.000000
-5.000000	-3.000000	0.000000	60.000000	60.000000	9.000000
-10.000000	-8.000000	0.000000	61.000000	61.000000	9.000000
-15.000000	-13.000000	0.000000	61.000000	61.000000	9.000000
-20.000000	-19.000000	0.000000	61.000000	61.000000	9.000000
-25.000000	-25.000000	0.000000	60.000000	60.000000	9.000000
-30.000000	-29.000000	0.000000	58.000000	58.000000	9.000000
-35.000000	-34.000000	0.000000	55.000000	55.000000	9.000000
-40.000000	-38.000000	0.000000	44.300000	44.300000	7.383333
-45.000000	-43.000000	0.000000	36.300000	36.300000	6.050000
-50.000000	-48.000000	0.000000	51.000000	51.000000	8.500000
-55.000000	-53.000000	0.000000	46.900000	46.900000	7.816667
-60.000000	-58.000000	0.000000	12.100000	12.100000	2.016667
-65.000000	-64.000000	0.000000	43.300000	43.300000	7.216667
-70.000000	-68.000000	0.000000	48.000000	48.000000	8.000000
-75.000000	-74.000000	0.000000	21.500000	21.500000	3.583333
-80.000000	-79.000000	0.000000	38.700000	38.700000	6.450000
-85.000000	-83.000000	0.000000	43.000000	43.000000	7.166667
-90.000000	-88.000000	0.000000	10.700000	10.700000	1.783333
-95.000000	-93.000000	0.000000	38.500000	38.500000	6.416667
-100.000000	-99.000000	0.000000	34.500000	34.500000	5.750000
-105.000000	-103.000000	0.000000	7.700000	7.700000	1.283333
-110.000000	-109.000000	0.000000	34.000000	34.000000	5.666667
-115.000000	-113.000000	0.000000	31.900000	31.900000	5.316667
-120.000000	-118.000000	0.000000	11.600000	11.600000	1.933333
-125.000000	-123.000000	0.000000	34.200000	34.200000	5.700000
-130.000000	-128.000000	0.000000	24.900000	24.900000	4.150000
-135.000000	-133.000000	0.000000	13.400000	13.400000	2.233333
-140.000000	-138.000000	0.000000	33.600000	33.600000	5.600000
-145.000000	-143.000000	0.000000	35.900000	35.900000	5.983333
-150.000000	-149.000000	0.000000	9.300000	9.300000	1.550000
-155.000000	-154.000000	0.000000	16.000000	16.000000	2.666667
-160.000000	-159.000000	0.000000	36.300000	36.300000	6.050000
-165.000000	-164.000000	0.000000	28.900000	28.900000	4.816667
-170.000000	-168.000000	0.000000	21.400000	21.400000	3.566667
-175.000000	-174.000000	0.000000	39.700000	39.700000	6.616667
-179.000000	-178.000000	0.000000	32.000000	32.000000	5.333333
