4NEC2 Output file:,/home/joea/.wine/drive_c/4nec2/out/owa_yagi_6el_circ.out
Zo:,50

THETA,PHI,VERT.,HOR.,TOTAL,AXIAL,TILT,SENSE,MAGNITUDE,PHASE,MAGNITUDE,PHASE
DEGREES,DEGREES,DB,DB,DB,RATIO,DEG.,VOLTS/M,DEGREES,VOLTS/M,DEGREES
-180.00,0.00,-999.99,-7.12,-7.12,0.00000,-90.00,LINEAR,3.05021E-12,126.56,3.41408E-01,-57.11
-175.00,0.00,-29.49,-6.97,-6.95,0.01497,85.81,RIGHT,2.59927E-02,-63.88,3.47464E-01,-75.49
-170.00,0.00,-23.82,-7.13,-7.04,0.04775,82.12,RIGHT,4.99320E-02,-71.43,3.41226E-01,-90.85
-165.00,0.00,-20.93,-7.54,-7.34,0.09366,79.11,RIGHT,6.96551E-02,-76.65,3.25611E-01,-103.64
-160.00,0.00,-19.29,-8.13,-7.81,0.14731,76.81,RIGHT,8.41128E-02,-79.84,3.04109E-01,-113.98
-155.00,0.00,-18.39,-8.85,-8.39,0.20362,75.17,RIGHT,9.33038E-02,-81.10,2.79801E-01,-121.75
-150.00,0.00,-17.97,-9.66,-9.07,0.25857,74.06,RIGHT,9.79046E-02,-80.24,2.54810E-01,-126.62
-145.00,0.00,-17.90,-10.55,-9.81,0.30967,73.32,RIGHT,9.87765E-02,-76.88,2.30231E-01,-128.12
-140.00,0.00,-18.09,-11.49,-10.63,0.35570,72.88,RIGHT,9.65895E-02,-70.35,2.06491E-01,-125.71
-135.00,0.00,-18.53,-12.50,-11.53,0.39609,72.80,RIGHT,9.17875E-02,-59.87,1.83947E-01,-118.84
-130.00,0.00,-19.21,-13.52,-12.48,0.43071,73.37,RIGHT,8.49540E-02,-44.45,1.63432E-01,-107.04
-125.00,0.00,-20.01,-14.47,-13.40,0.46134,75.10,RIGHT,7.74298E-02,-23.02,1.46486E-01,-90.05
-120.00,0.00,-20.67,-15.18,-14.10,0.49360,78.44,RIGHT,7.17778E-02,5.03,1.35018E-01,-68.22
-115.00,0.00,-20.75,-15.49,-14.36,0.53434,83.29,RIGHT,7.11417E-02,38.25,1.30279E-01,-42.93
-110.00,0.00,-20.08,-15.40,-14.13,0.58263,88.82,RIGHT,7.67873E-02,72.47,1.31721E-01,-16.20
-105.00,0.00,-19.04,-15.05,-13.59,0.62852,-85.94,RIGHT,8.65799E-02,104.24,1.37017E-01,10.35
-100.00,0.00,-18.07,-14.67,-13.03,0.66298,-81.67,RIGHT,9.67997E-02,132.93,1.43244E-01,36.02
-95.00,0.00,-17.43,-14.39,-12.64,0.68313,-78.89,RIGHT,1.04247E-01,159.13,1.47975E-01,60.73
-90.00,0.00,-17.21,-14.28,-12.49,0.68962,-77.92,RIGHT,1.06948E-01,-176.63,1.49716E-01,84.52
-85.00,0.00,-17.43,-14.39,-12.64,0.68313,-78.89,RIGHT,1.04247E-01,-154.30,1.47974E-01,107.31
-80.00,0.00,-18.07,-14.67,-13.03,0.66298,-81.67,RIGHT,9.67997E-02,-134.28,1.43243E-01,128.81
-75.00,0.00,-19.04,-15.05,-13.59,0.62852,-85.94,RIGHT,8.65799E-02,-117.45,1.37016E-01,148.65
-70.00,0.00,-20.08,-15.40,-14.13,0.58264,88.82,RIGHT,7.67873E-02,-104.77,1.31719E-01,166.57
-65.00,0.00,-20.75,-15.49,-14.36,0.53435,83.29,RIGHT,7.11417E-02,-95.92,1.30276E-01,-177.10
-60.00,0.00,-20.67,-15.18,-14.10,0.49362,78.44,RIGHT,7.17778E-02,-87.79,1.35015E-01,-161.04
-55.00,0.00,-20.01,-14.47,-13.40,0.46135,75.10,RIGHT,7.74298E-02,-76.52,1.46482E-01,-143.55
-50.00,0.00,-19.21,-13.52,-12.48,0.43072,73.37,RIGHT,8.49540E-02,-60.96,1.63429E-01,-123.56
-45.00,0.00,-18.53,-12.50,-11.53,0.39610,72.80,RIGHT,9.17875E-02,-42.01,1.83943E-01,-100.99
-40.00,0.00,-18.09,-11.49,-10.63,0.35571,72.88,RIGHT,9.65895E-02,-21.01,2.06486E-01,-76.36
-35.00,0.00,-17.90,-10.55,-9.81,0.30967,73.32,RIGHT,9.87765E-02,0.85,2.30226E-01,-50.40
-30.00,0.00,-17.97,-9.66,-9.07,0.25858,74.06,RIGHT,9.79046E-02,22.53,2.54805E-01,-23.85
-25.00,0.00,-18.39,-8.85,-8.39,0.20362,75.17,RIGHT,9.33038E-02,43.20,2.79796E-01,2.55
-20.00,0.00,-19.29,-8.13,-7.81,0.14731,76.81,RIGHT,8.41128E-02,62.29,3.04105E-01,28.16
-15.00,0.00,-20.93,-7.54,-7.34,0.09365,79.11,RIGHT,6.96551E-02,79.51,3.25608E-01,52.52
-10.00,0.00,-23.82,-7.13,-7.04,0.04775,82.12,RIGHT,4.99320E-02,94.82,3.41225E-01,75.40
-5.00,0.00,-29.49,-6.97,-6.95,0.01497,85.81,RIGHT,2.59927E-02,108.45,3.47465E-01,96.85
0.00,0.00,-999.99,-7.12,-7.12,0.00000,-90.00,LINEAR,0.00000E+00,0.00,3.41411E-01,117.26
-180.00,5.00,-28.32,-7.16,-7.12,0.00000,-85.00,LINEAR,2.97557E-02,122.89,3.40109E-01,-57.11
-175.00,5.00,-40.86,-7.00,-7.00,0.01507,-89.22,RIGHT,7.02362E-03,56.61,3.46138E-01,-75.42
-170.00,5.00,-30.06,-7.16,-7.14,0.04858,86.99,RIGHT,2.43402E-02,-47.83,3.39996E-01,-90.71
-165.00,5.00,-24.36,-7.56,-7.47,0.09611,83.83,RIGHT,4.69412E-02,-61.20,3.24554E-01,-103.44
-160.00,5.00,-21.52,-8.15,-7.96,0.15210,81.38,RIGHT,6.51170E-02,-67.31,3.03257E-01,-113.71
-155.00,5.00,-19.94,-8.87,-8.55,0.21103,79.58,RIGHT,7.80701E-02,-70.27,2.79151E-01,-121.43
-150.00,5.00,-19.09,-9.68,-9.21,0.26849,78.32,RIGHT,8.60685E-02,-70.68,2.54352E-01,-126.25
-145.00,5.00,-18.72,-10.56,-9.94,0.32171,77.42,RIGHT,8.98162E-02,-68.38,2.29957E-01,-127.73
-140.00,5.00,-18.70,-11.49,-10.74,0.36935,76.79,RIGHT,8.99972E-02,-62.83,2.06400E-01,-125.34
-135.00,5.00,-18.98,-12.49,-11.61,0.41068,76.49,RIGHT,8.71426E-02,-53.25,1.84023E-01,-118.55
-130.00,5.00,-19.52,-13.51,-12.54,0.44537,76.79,RIGHT,8.19167E-02,-38.70,1.63614E-01,-106.88
-125.00,5.00,-20.21,-14.46,-13.44,0.47481,78.20,RIGHT,7.56866E-02,-18.18,1.46631E-01,-90.10
-120.00,5.00,-20.77,-15.19,-14.13,0.50424,81.18,RIGHT,7.09556E-02,8.84,1.34905E-01,-68.53
-115.00,5.00,-20.80,-15.53,-14.40,0.54067,85.65,RIGHT,7.07417E-02,40.90,1.29674E-01,-43.44
-110.00,5.00,-20.14,-15.48,-14.20,0.58457,-89.22,RIGHT,7.63013E-02,74.07,1.30495E-01,-16.81
-105.00,5.00,-19.13,-15.17,-13.70,0.62766,-84.45,RIGHT,8.57068E-02,105.05,1.35192E-01,9.74
-100.00,5.00,-18.19,-14.81,-13.17,0.66156,-80.78,RIGHT,9.54648E-02,133.11,1.40949E-01,35.45
-95.00,5.00,-17.57,-14.54,-12.79,0.68292,-78.68,RIGHT,1.02511E-01,158.76,1.45388E-01,60.21
-90.00,5.00,-17.37,-14.44,-12.65,0.69145,-78.48,RIGHT,1.04955E-01,-177.58,1.47031E-01,84.01
-85.00,5.00,-17.60,-14.54,-12.79,0.68668,-80.25,RIGHT,1.02205E-01,-155.90,1.45387E-01,106.78
-80.00,5.00,-18.24,-14.81,-13.18,0.66693,-83.81,RIGHT,9.49889E-02,-136.66,1.40948E-01,128.24
-75.00,5.00,-19.16,-15.17,-13.71,0.63106,-88.73,RIGHT,8.53582E-02,-120.74,1.35191E-01,148.04
